NAME,us,Year,Topic,Geo,Variable,Value,Display
United States,1,2018,Sex by Age (full),US,B01001_012MA,,B01001_012MA
United States,1,2019,Sex by Age (full),US,B01001_012MA,,B01001_012MA
United States,1,2020,Sex by Age (full),US,B01001_012MA,,B01001_012MA
United States,1,2021,Sex by Age (full),US,B01001_012MA,,B01001_012MA
United States,1,2022,Sex by Age (full),US,B01001_012MA,,B01001_012MA
United States,1,2023,Sex by Age (full),US,B01001_012MA,,B01001_012MA
United States,1,2018,Sex by Age (full),US,B01001_013E,10343188.0,B01001_013E
United States,1,2019,Sex by Age (full),US,B01001_013E,10520984.0,B01001_013E
United States,1,2020,Sex by Age (full),US,B01001_013E,10658796.0,B01001_013E
United States,1,2021,Sex by Age (full),US,B01001_013E,11035080.0,B01001_013E
United States,1,2022,Sex by Age (full),US,B01001_013E,11139243.0,B01001_013E
United States,1,2023,Sex by Age (full),US,B01001_013E,11216324.0,B01001_013E
United States,1,2018,Sex by Age (full),US,B01001_013EA,,B01001_013EA
United States,1,2019,Sex by Age (full),US,B01001_013EA,,B01001_013EA
United States,1,2020,Sex by Age (full),US,B01001_013EA,,B01001_013EA
United States,1,2021,Sex by Age (full),US,B01001_013EA,,B01001_013EA
United States,1,2022,Sex by Age (full),US,B01001_013EA,,B01001_013EA
United States,1,2023,Sex by Age (full),US,B01001_013EA,,B01001_013EA
United States,1,2018,Sex by Age (full),US,B01001_013M,19332.0,B01001_013M
United States,1,2019,Sex by Age (full),US,B01001_013M,19642.0,B01001_013M
United States,1,2020,Sex by Age (full),US,B01001_013M,21314.0,B01001_013M
United States,1,2021,Sex by Age (full),US,B01001_013M,18645.0,B01001_013M
United States,1,2022,Sex by Age (full),US,B01001_013M,21904.0,B01001_013M
United States,1,2023,Sex by Age (full),US,B01001_013M,21579.0,B01001_013M
United States,1,2018,Sex by Age (full),US,B01001_013MA,,B01001_013MA
United States,1,2019,Sex by Age (full),US,B01001_013MA,,B01001_013MA
United States,1,2020,Sex by Age (full),US,B01001_013MA,,B01001_013MA
United States,1,2021,Sex by Age (full),US,B01001_013MA,,B01001_013MA
United States,1,2022,Sex by Age (full),US,B01001_013MA,,B01001_013MA
United States,1,2023,Sex by Age (full),US,B01001_013MA,,B01001_013MA
United States,1,2018,Sex by Age (full),US,B01001_014E,9965417.0,B01001_014E
United States,1,2019,Sex by Age (full),US,B01001_014E,9904665.0,B01001_014E
United States,1,2020,Sex by Age (full),US,B01001_014E,9966088.0,B01001_014E
United States,1,2021,Sex by Age (full),US,B01001_014E,10294662.0,B01001_014E
United States,1,2022,Sex by Age (full),US,B01001_014E,10497372.0,B01001_014E
United States,1,2023,Sex by Age (full),US,B01001_014E,10673030.0,B01001_014E
United States,1,2018,Sex by Age (full),US,B01001_014EA,,B01001_014EA
United States,1,2019,Sex by Age (full),US,B01001_014EA,,B01001_014EA
United States,1,2020,Sex by Age (full),US,B01001_014EA,,B01001_014EA
United States,1,2021,Sex by Age (full),US,B01001_014EA,,B01001_014EA
United States,1,2022,Sex by Age (full),US,B01001_014EA,,B01001_014EA
United States,1,2023,Sex by Age (full),US,B01001_014EA,,B01001_014EA
United States,1,2018,Sex by Age (full),US,B01001_014M,19754.0,B01001_014M
United States,1,2019,Sex by Age (full),US,B01001_014M,20566.0,B01001_014M
United States,1,2020,Sex by Age (full),US,B01001_014M,21629.0,B01001_014M
United States,1,2021,Sex by Age (full),US,B01001_014M,19105.0,B01001_014M
United States,1,2022,Sex by Age (full),US,B01001_014M,21381.0,B01001_014M
United States,1,2023,Sex by Age (full),US,B01001_014M,20772.0,B01001_014M
United States,1,2018,Sex by Age (full),US,B01001_014MA,,B01001_014MA
United States,1,2019,Sex by Age (full),US,B01001_014MA,,B01001_014MA
United States,1,2020,Sex by Age (full),US,B01001_014MA,,B01001_014MA
United States,1,2021,Sex by Age (full),US,B01001_014MA,,B01001_014MA
United States,1,2022,Sex by Age (full),US,B01001_014MA,,B01001_014MA
United States,1,2023,Sex by Age (full),US,B01001_014MA,,B01001_014MA
United States,1,2018,Sex by Age (full),US,B01001_015E,10307737.0,B01001_015E
United States,1,2019,Sex by Age (full),US,B01001_015E,10257989.0,B01001_015E
United States,1,2020,Sex by Age (full),US,B01001_015E,10174825.0,B01001_015E
